Artist,WikiLink,Genre
Knoc-Turn'Al,Knoc-Turn'Al,West Coast
Kokane,Kokane,West Coast
Kottonmouth Kings,Kottonmouth_Kings,West Coast
Kreayshawn,Kreayshawn,West Coast
Krondon,Krondon,West Coast
Kung Fu Vampire,Kung_Fu_Vampire,West Coast
Kurupt,Kurupt,West Coast
LA Dream Team,LA_Dream_Team,West Coast
L.A.M.B,L.A.M.B,West Coast
L.A. Posse,L.A._Posse,West Coast
LA Symphony,LA_Symphony,West Coast
Lady of Rage,Lady_of_Rage,West Coast
Larry June,Larry_June,West Coast
Lateef the Truthspeaker,Lateef_the_Truthspeaker,West Coast
Latyrx,Latyrx,West Coast
Lazarus,Lazarus_(rapper),West Coast
LBC Crew,LBC_Crew,West Coast
Left Brain,Left_Brain,West Coast
Lifesavas,Lifesavas,West Coast
Lighter Shade of Brown,Lighter_Shade_of_Brown,West Coast
Likwit Crew,Likwit_Crew,West Coast
Lil B,Lil_B,West Coast
Lil Debbie,Lil_Debbie,West Coast
Lil Eazy-E,Lil_Eazy-E,West Coast
Lil Ric,Lil_Ric,West Coast
Lil Rob,Lil_Rob,West Coast
Living Legends,Living_Legends_(group),West Coast
Locksmith,Locksmith_(rapper),West Coast
Lootpack,Lootpack,West Coast
Lords of Lyrics,Lords_of_Lyrics,West Coast
LoveRance,LoveRance,West Coast
LPG,LPG_(American_band),West Coast
Luckyiam,Luckyiam,West Coast
Luni Coleone,Luni_Coleone,West Coast
Luniz,Luniz,West Coast
Lyrics Born,Lyrics_Born,West Coast
MC Eiht,MC_Eiht,West Coast
MC Hammer,MC_Hammer,West Coast
MC Ren,MC_Ren,West Coast
MC Trouble,MC_Trouble,West Coast
MC Smooth,Smooth_(singer),West Coast
Mac Dre,Mac_Dre,West Coast
Mac Mall,Mac_Mall,West Coast
Mac Minister,Mac_Minister,West Coast
Mack 10,Mack_10,West Coast
Madchild,Madchild,West Coast
Madlib,Madlib,West Coast
Mann,Mann_(rapper),West Coast
Mars,Mars_(rapper),West Coast
Marvaless,Marvaless,West Coast
Mellow Man Ace,Mellow_Man_Ace,West Coast
Menace Clan,Menace_Clan,West Coast
Menajahtwa,Menajahtwa,West Coast
Messy Marv,Messy_Marv,West Coast
Migos,Migos,West Coast
Mike G,Mike_G,West Coast
Mistah F.A.B.,Mistah_F.A.B.,West Coast
Mitchy Slick,Mitchy_Slick,West Coast
Mopreme Shakur,Mopreme_Shakur,West Coast
Mozzy,Mozzy,West Coast
Mr. Capone-E,Mr._Capone-E,West Coast
Mr. Doctor,Mr._Doctor,West Coast
Mr. Malik,Mr._Malik,West Coast
Ms. Toi,Ms._Toi,West Coast
Murs,Murs_(rapper),West Coast
N2Deep,N2Deep,West Coast
Napoleon,Napoleon_(rapper),West Coast
Nate Dogg,Nate_Dogg,West Coast
Nationwide Rip Ridaz,Nationwide_Rip_Ridaz,West Coast
NB Ridaz,NB_Ridaz,West Coast
Nipsey Hussle,Nipsey_Hussle,West Coast
NoClue,NoClue,West Coast
Numskull,Numskull,West Coast
N.W.A,N.W.A,West Coast
NLE Choppa,NLE_Choppa,West Coast
Oaktown 3.5.7,Oaktown_3.5.7,West Coast
Odd Future,Odd_Future,West Coast
Offset,Offset_(rapper),West Coast
One Block Radius,One_Block_Radius,West Coast
Outlawz,Outlawz,West Coast
O.T Genasis,O.T_Genasis,West Coast
PSD,PSD_(rapper),West Coast
Pac Div,Pac_Div,West Coast
Paperboy,Paperboy_(rapper),West Coast
Paris,Paris_(rapper),West Coast
Peace 586,Peace_586,West Coast
Penthouse Players Clique,Penthouse_Players_Clique,West Coast
People Under The Stairs,People_Under_The_Stairs,West Coast
Pigeon John,Pigeon_John,West Coast
Planet Asia,Planet_Asia,West Coast
Playa Hamm,Playa_Hamm,West Coast
Pop Smoke,Pop_Smoke,West Coast
Potluck,Potluck_(group),West Coast
Problem,Problem_(rapper),West Coast
Propaganda,Propaganda_(musician),West Coast
Proper Dos,Proper_Dos,West Coast
Psycho Realm,Psycho_Realm,West Coast
Psychosiz,Psychosiz,West Coast
Quasimoto,Quasimoto,West Coast
Quavo,Quavo,West Coast
Quo,Quo_(group),West Coast
RBL Posse,RBL_Posse,West Coast
RBX,RBX,West Coast
Rappin' 4-Tay,Rappin'_4-Tay,West Coast
Ras Kass,Ras_Kass,West Coast
Rasco,Rasco,West Coast
Ray Luv,Ray_Luv,West Coast
Richie Rich,Richie_Rich_(rapper),West Coast
Roddy Ricch,Roddy_Ricch,West Coast
Rodney O & Joe Cooley,Rodney_O_&_Joe_Cooley,West Coast
Rydah J. Klyde,Rydah_J._Klyde,West Coast
Saafir,Saafir,West Coast
Sage the Gemini,Sage_the_Gemini,West Coast
Saint Dog,Saint_Dog,West Coast
Sam Sneed,Sam_Sneed,West Coast
San Quinn,San_Quinn,West Coast
Saweetie,Saweetie,West Coast
Schoolboy Q,Schoolboy_Q,West Coast
Seagram,Seagram_(rapper),West Coast
Sen Dog,Sen_Dog,West Coast
Shade Sheist,Shade_Sheist,West Coast
Shoreline mafia,Shoreline_mafia,West Coast
Sir Jinx,Sir_Jinx,West Coast
Sir Mix-a-Lot,Sir_Mix-a-Lot,West Coast
Skee-Lo,Skee-Lo,West Coast
Slim the Mobster,Slim_the_Mobster,West Coast
Smooth,Smooth_(singer),West Coast
Smoov-E,Smoov-E,West Coast
Snoop Dogg,Snoop_Dogg,West Coast
Snow Tha Product,Snow_Tha_Product,West Coast
Souls of Mischief,Souls_of_Mischief,West Coast
South Central Cartel,South_Central_Cartel,West Coast
Soopafly,Soopafly,West Coast
Spice 1,Spice_1,West Coast
Spider Loc,Spider_Loc,West Coast
Stat Quo,Stat_Quo,West Coast
Steady Mobb'n,Steady_Mobb'n,West Coast
Storm,Storm_(rapper),West Coast
Strong Arm Steady,Strong_Arm_Steady,West Coast
Stunnaman,Stunnaman,West Coast
Subnoize Souljaz,Subnoize_Souljaz,West Coast
Suga Free,Suga_Free,West Coast
Suga T,Suga_T,West Coast
Sunspot Jonz,Sunspot_Jonz,West Coast
SwizZz,SwizZz,West Coast
Swollen Members,Swollen_Members,West Coast
